,index,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,Total_Charge,day_rate,eve_rate,night_rate,intl_rate,CLUSTER
39,39,NJ,149,area_code_408,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,no,58.44,0.170014245014245,0.08498896247240618,0.04498141263940521,0.2702702702702703,0
40,40,GA,98,area_code_408,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,no,46.63999999999999,0.16999208234362628,0.08501199040767385,0.04499467518636847,0.2702127659574468,4
41,41,MD,135,area_code_408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,yes,56.199999999999996,0.17001733102253033,0.08499264345267286,0.045008183306055646,0.26986301369863014,1
42,42,AR,34,area_code_510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,no,61.92999999999999,0.1700320512820513,0.08501063075832742,0.045008025682182984,0.27,2
43,43,ID,160,area_code_415,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,no,39.15,0.17004662004662005,0.08499697519661222,0.0449859943977591,0.26956521739130435,0
44,44,WI,64,area_code_510,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,no,58.260000000000005,0.16999999999999998,0.08498671390611161,0.04500565397663023,0.2714285714285714,3
45,45,OR,59,area_code_408,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,no,48.3,0.16997518610421836,0.08502347417840375,0.045003065603923975,0.27058823529411763,0
46,46,MI,65,area_code_415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,no,59.36000000000001,0.16999526739233317,0.08499384993849939,0.04498886414253898,0.2696969696969697,4
47,47,DE,142,area_code_408,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,no,56.129999999999995,0.16999999999999998,0.0849925705794948,0.045004128819157725,0.27027027027027023,3
48,48,ID,119,area_code_415,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,yes,55.53,0.1700188560653677,0.0849978383052313,0.04497206703910615,0.27045454545454545,4
49,49,WY,97,area_code_415,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,no,47.25,0.16996996996997,0.08499079189686926,0.04504249291784703,0.27,1
50,50,IA,52,area_code_408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,no,68.32,0.16998436685773838,0.08498888065233506,0.04501689189189189,0.2705128205128205,4
51,51,IN,60,area_code_408,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,no,68.49000000000001,0.16999093381686312,0.08498342018000948,0.04502008032128514,0.2705882352941177,3
52,52,VA,10,area_code_408,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,no,63.620000000000005,0.17001612036539496,0.08501577287066248,0.045014144271570015,0.27017543859649124,2
53,53,UT,96,area_code_415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,no,62.76,0.16997503121098628,0.08500934579439252,0.0449890590809628,0.2698924731182795,2
54,54,WY,87,area_code_415,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,yes,56.14,0.17,0.08497951752389624,0.04502206964198136,0.2701030927835052,4
55,55,IN,81,area_code_408,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,no,65.94,0.17002849002849002,0.08499799438427598,0.04500370096225019,0.26960784313725494,2
56,56,CO,141,area_code_415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,no,45.370000000000005,0.16997635933806146,0.085,0.045028409090909084,0.27,0
57,57,CO,121,area_code_408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,yes,49.849999999999994,0.17001008064516127,0.08499335989375831,0.04497792494481237,0.27068965517241383,3
58,58,WI,68,area_code_415,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,no,55.36000000000001,0.1700268817204301,0.08498985801217038,0.04499229583975346,0.2702479338842975,4
59,59,OK,125,area_code_408,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,no,65.82,0.16999563890100303,0.08500563697857948,0.04500792393026941,0.27,1
60,60,ID,174,area_code_408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,no,57.67999999999999,0.1700156168662155,0.08499117127722189,0.045018007202881155,0.27017543859649124,1
61,61,CA,116,area_code_415,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,no,71.41999999999999,0.16999255398361873,0.08501683501683502,0.0449789536981359,0.26982758620689656,1
62,62,MN,74,area_code_510,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,no,64.0,0.17000516262261228,0.08500609508329948,0.045,0.26986301369863014,1
63,63,SD,149,area_code_408,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,no,62.029999999999994,0.170005534034311,0.08498402555910543,0.04500941619585687,0.2698412698412698,4
64,64,NC,38,area_code_408,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,no,45.51,0.16996951219512196,0.08502148557397175,0.0449685534591195,0.26951219512195124,0
65,65,WA,40,area_code_415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,no,50.89000000000001,0.1700202565833896,0.08501474926253687,0.04497898178421299,0.2693548387096774,3
66,66,WY,43,area_code_415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,no,70.46,0.17001988071570576,0.08500939849624059,0.04499366286438529,0.2698924731182795,1
67,67,MN,113,area_code_408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,no,46.88,0.16996805111821087,0.08498062015503875,0.04501160092807424,0.26987951807228916,0
68,68,UT,126,area_code_408,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,no,63.42999999999999,0.1699905482041588,0.08501613646841863,0.045016286644951144,0.2705128205128205,3
69,69,TX,150,area_code_510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,yes,55.199999999999996,0.16998323085522637,0.0849793021880544,0.04502018842530283,0.2702898550724638,4
70,70,NJ,138,area_code_408,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,no,72.08,0.17001654259718774,0.08498533724340177,0.045005079580088043,0.2703389830508474,4
71,71,MN,162,area_code_510,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,no,68.96,0.1699866607381058,0.08501594048884166,0.045011783189316576,0.2702479338842975,2
72,72,NM,147,area_code_510,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,no,64.84,0.16999195494770716,0.0850235057085292,0.04498550724637681,0.27,4
73,73,NV,90,area_code_415,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,no,62.67999999999999,0.17000983284169124,0.08500220555800618,0.045013123359580055,0.26986301369863014,3
74,74,HI,85,area_code_415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,no,65.16,0.17001696352841392,0.08498727735368956,0.045005313496280556,0.27,1
75,75,MN,50,area_code_415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,no,55.49999999999999,0.17001909611712288,0.08499776085982982,0.04498346196251378,0.27049180327868855,3
76,76,DC,82,area_code_415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,yes,81.75,0.16999666999666999,0.08502762430939227,0.04498333950388745,0.2700854700854701,2
77,77,NY,144,area_code_408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,yes,27.02,0.16996753246753246,0.08495460440985733,0.045028901734104045,0.26951219512195124,0
78,78,MN,46,area_code_415,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,no,60.57,0.170014012143858,0.08497566909975669,0.04501408450704225,0.26951219512195124,3
79,79,MD,70,area_code_408,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,no,56.459999999999994,0.16997649823736782,0.08498711340206186,0.04501312335958005,0.26999999999999996,0
80,80,WV,144,area_code_415,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,no,73.63,0.17001491795126802,0.08500823723228995,0.045,0.2696969696969697,2
81,81,OR,116,area_code_415,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,no,69.96000000000001,0.17000928505106777,0.085009765625,0.04499102333931777,0.2698412698412698,4
82,82,CO,55,area_code_408,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,no,50.599999999999994,0.16998792270531402,0.08501102130786187,0.0450199203187251,0.27,4
83,83,GA,70,area_code_415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,no,77.16000000000001,0.17002004008016033,0.08498267231420871,0.044993264481365064,0.2704081632653061,2
84,84,TX,106,area_code_510,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,yes,68.94,0.16999050332383664,0.08499197431781702,0.04498432601880877,0.2701612903225806,2
85,85,VT,128,area_code_510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,no,66.53999999999999,0.16999442275515894,0.0849933598937583,0.04501547987616099,0.2697674418604651,2
86,86,IN,94,area_code_408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,yes,50.709999999999994,0.16998100063331223,0.08503225806451613,0.044989451476793244,0.27,4
87,87,WV,111,area_code_510,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,no,65.6,0.1699953336444237,0.08498800959232614,0.0450109649122807,0.27,1
88,88,KY,74,area_code_415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,no,48.72,0.1700194678780013,0.08500810372771475,0.044977733795150916,0.2697247706422018,0
89,89,NJ,128,area_code_415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,yes,74.64,0.1699873896595208,0.08501615508885299,0.044997606510292006,0.2697841726618705,2
90,90,DC,82,area_code_510,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,no,48.96,0.16997915218902016,0.08501795792714212,0.04498175182481752,0.2702702702702703,1
91,91,LA,155,area_code_415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,yes,62.03,0.17000983284169124,0.08501833420639078,0.045,0.2696629213483146,1
92,92,AR,80,area_code_415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,no,49.36000000000001,0.16999195494770716,0.08502890173410405,0.04498420221169037,0.26962025316455696,0
93,93,ME,78,area_code_415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,no,72.6,0.16998813760379597,0.08497757847533632,0.045017051913603646,0.27052631578947367,4
94,94,AZ,90,area_code_415,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,no,55.26,0.17001675041876047,0.08499475341028331,0.04502740798747063,0.269811320754717,4
95,95,AK,104,area_code_408,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,no,64.21000000000001,0.17000718390804598,0.08506172839506172,0.04497549019607843,0.2704081632653061,1
96,96,MT,73,area_code_415,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,no,56.68999999999999,0.17001873828856964,0.08499765588373183,0.04497415278575532,0.26999999999999996,1
97,97,AZ,99,area_code_415,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,no,62.25000000000001,0.16997981836528758,0.08499758803666184,0.04499738082765846,0.2701149425287357,4
98,98,MS,120,area_code_408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,yes,62.809999999999995,0.17001414427157002,0.08500477554918816,0.044976076555023926,0.269811320754717,3
99,99,ID,77,area_code_415,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,yes,75.32000000000001,0.17001588562351072,0.08497812348079728,0.04498546511627907,0.2704081632653061,2
100,100,IA,98,area_code_510,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,no,57.24,0.16997518610421836,0.08501189532117367,0.04500624219725344,0.27045454545454545,4
101,101,MA,108,area_code_415,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,no,56.129999999999995,0.16999439147504206,0.08502645502645503,0.04500387296669248,0.26986301369863014,1
102,102,VT,135,area_code_415,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,no,46.849999999999994,0.17000659195781148,0.08504201680672269,0.045,0.2704761904761905,0
103,103,KY,95,area_code_408,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,no,52.980000000000004,0.16999999999999998,0.08502178649237473,0.04500611496127191,0.2704,0
104,104,IN,122,area_code_408,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,no,57.989999999999995,0.17002932551319647,0.0849740932642487,0.04501206757843926,0.26991150442477874,0
105,105,AZ,95,area_code_408,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,no,68.13,0.17001259974800503,0.08498931623931624,0.045000000000000005,0.2703389830508474,4
106,106,MI,36,area_code_510,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,no,75.88000000000001,0.17000710732054017,0.08501483679525224,0.04497863247863248,0.27,2
107,107,NM,93,area_code_510,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,no,46.42999999999999,0.16997455470737913,0.08498480243161094,0.04497695852534562,0.2704081632653061,0
108,108,CO,141,area_code_415,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,no,49.0,0.16998654104979813,0.08497330282227308,0.04498632634457611,0.2702970297029703,0
109,109,UT,157,area_code_408,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,no,65.09,0.17001740644038293,0.08498985801217038,0.044987572493786245,0.26979166666666665,4
110,110,MI,120,area_code_408,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,no,62.61000000000001,0.17,0.08499369482976041,0.04496644295302014,0.26987951807228916,1
111,111,MA,103,area_code_415,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,no,63.86,0.16999999999999998,0.08499776085982982,0.04501795332136445,0.2698412698412698,2
112,112,AL,98,area_code_408,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,no,57.120000000000005,0.17,0.08501833420639078,0.045015371102327624,0.2702479338842975,4
113,113,DE,125,area_code_408,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,no,53.78999999999999,0.17000789265982635,0.085,0.04499596448748991,0.2699248120300752,0
114,114,AZ,63,area_code_415,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,no,36.48,0.1699490662139219,0.08502358490566038,0.04498580889309366,0.2702127659574468,0
115,115,ME,36,area_code_510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,yes,66.75,0.17002032520325203,0.0850137308748529,0.044974692697035426,0.27,1
116,116,NJ,64,area_code_510,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,no,47.010000000000005,0.16998769987699877,0.08502954694681548,0.04504347826086956,0.26971830985915496,1
117,117,NV,74,area_code_415,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,yes,76.91000000000001,0.17001769911504425,0.08499317871759891,0.045000000000000005,0.2702127659574468,1
118,118,MO,112,area_code_510,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,no,43.410000000000004,0.1700087950747581,0.08501587301587302,0.044988738738738744,0.27,0
119,119,ID,97,area_code_408,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,no,67.83,0.17001668056713928,0.08500931098696463,0.04501046755059316,0.2701149425287357,1
120,120,NE,46,area_code_408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,no,67.59,0.16998097050428163,0.08499780026396832,0.044977511244377814,0.2702290076335878,2
121,121,TX,41,area_code_408,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,no,56.74,0.17001870907390085,0.08497884344146685,0.04500703234880451,0.26944444444444443,3
122,122,MD,121,area_code_510,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,no,60.61,0.1700052438384898,0.08501362397820163,0.04501811594202898,0.2704081632653061,4
123,123,MS,193,area_code_415,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,no,48.51,0.16998244587478056,0.08503401360544217,0.0449955713020372,0.26982758620689656,1
124,124,NV,130,area_code_510,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,no,48.29,0.16997405966277562,0.08502722323049001,0.044986807387862794,0.26956521739130435,0
125,125,AZ,85,area_code_408,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,no,68.33999999999999,0.17000993048659385,0.08500435919790758,0.04499009900990099,0.27,2
